file,cue,count,share
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, s, ent, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, *, ent, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, *, *, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, *, ent, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, s, ent, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, *, *, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, s, *, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, *, ent, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, *, ent, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, s, *, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, s, *, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, s, ent, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, *, *, *)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(*, s, *, c)",10,0.06666666666666667
news_news_llm_retry_df_qa.combined_story_minimal_150.csv,"(t, s, ent, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, s, *, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, *, ent, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, s, ent, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, *, ent, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, *, *, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, *, *, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, s, ent, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, s, *, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, s, ent, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, *, ent, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, s, *, c)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, s, ent, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, *, *, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(t, s, *, *)",10,0.06666666666666667
scifi_20260312T170655Z_df_qa.combined_story_minimal_150.csv,"(*, *, ent, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, s, ent, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, *, ent, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, s, *, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, *, ent, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, *, ent, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, *, ent, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, s, ent, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, s, *, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, *, *, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, s, ent, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, *, *, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, *, *, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, s, *, c)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(*, s, *, *)",10,0.06666666666666667
thriller_20260311T152054Z_df_qa.combined_story_minimal_150.csv,"(t, s, ent, *)",10,0.06666666666666667
