retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,4,0.75,0.75
Event contents,10,0.5,0.5
Full event details,5,0.6,0.6
Other entities,5,1.0,1.0
Spaces,5,0.4,0.4
Times,9,0.6296296666666668,0.5555555555555556
story_compare::intersection,17,0.8823529411764706,0.8823529411764706
story_composite::difference_then_sort,16,0.5625,0.5625
story_compute::sort_items,18,0.3888888888888889,0.3888888888888889
story_diff::set_difference,21,0.03174604761904762,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.4666666666666667,0.4666666666666667
story_state::latest_chapter,18,0.23809522222222224,0.2222222222222222
