model,dataset,f1_dp,f1_rag,delta_rag_minus_dp
Llama3.1_8B_instruct,THRILLER,0.408571,0.437778,0.029206999999999983
Llama3.1_8B_instruct,NEWS,0.472778,0.490794,0.018016000000000032
Llama3.1_8B_instruct,SCIFI,0.504667,0.561111,0.05644400000000005
Phi3_mini_4K_instruct,THRILLER,0.4,0.479333,0.07933299999999999
Phi3_mini_4K_instruct,NEWS,0.426667,0.488222,0.06155499999999997
Phi3_mini_4K_instruct,SCIFI,0.426667,0.508889,0.08222200000000002
Qwen2.5_14B_Instruct,THRILLER,0.37746,0.483016,0.10555599999999998
Qwen2.5_14B_Instruct,NEWS,0.438333,0.506667,0.068334
Qwen2.5_14B_Instruct,SCIFI,0.484556,0.484444,-0.00011200000000000099
Qwen3_4B_Instruct,THRILLER,0.4,0.434111,0.034111
Qwen3_4B_Instruct,NEWS,0.426667,0.486395,0.059728
Qwen3_4B_Instruct,SCIFI,0.426667,0.500222,0.07355500000000004
