model,book,label,n,mean_delta_f1_rag_minus_dp,ci_low,ci_high
Qwen2.5_14B_Instruct,THRILLER,Qwen2.5_14B_Instruct | THRILLER,150,0.10555555999999999,0.0415873,0.17113096100000005
Phi3_mini_4K_instruct,SCIFI,Phi3_mini_4K_instruct | SCIFI,150,0.08222223333333334,0.0022222331666666632,0.16227779516666688
Phi3_mini_4K_instruct,THRILLER,Phi3_mini_4K_instruct | THRILLER,150,0.07933333333333334,0.006444453166666663,0.15378889116666672
Qwen3_4B_Instruct,SCIFI,Qwen3_4B_Instruct | SCIFI,150,0.07355556,0.025777780000000004,0.1224500086666667
Qwen2.5_14B_Instruct,NEWS,Qwen2.5_14B_Instruct | NEWS,150,0.06833334666666666,0.0088889,0.131125022
Qwen3_4B_Instruct,NEWS,Qwen3_4B_Instruct | NEWS,147,0.06462585714285714,0.022675748299319724,0.10884354421768708
Phi3_mini_4K_instruct,NEWS,Phi3_mini_4K_instruct | NEWS,150,0.06155556666666666,-0.003116655500000002,0.12378890433333335
Llama3.1_8B_instruct,SCIFI,Llama3.1_8B_instruct | SCIFI,150,0.05644444,-0.026005568666666663,0.14378887816666672
Qwen3_4B_Instruct,THRILLER,Qwen3_4B_Instruct | THRILLER,150,0.03411111333333333,-0.0019999999999999987,0.07245000866666669
Llama3.1_8B_instruct,THRILLER,Llama3.1_8B_instruct | THRILLER,150,0.02920634666666667,-0.040039695499999986,0.09809523333333334
Llama3.1_8B_instruct,NEWS,Llama3.1_8B_instruct | NEWS,150,0.01801587333333333,-0.0600079365,0.09301587333333333
Qwen2.5_14B_Instruct,SCIFI,Qwen2.5_14B_Instruct | SCIFI,150,-0.00011111333333333177,-0.07377778,0.074113891
