model,book,pair_outcome,n,pct
Llama3.1_8B_instruct,NEWS,RAG loses,17,11.333333333333334
Llama3.1_8B_instruct,NEWS,RAG wins,20,13.333333333333334
Llama3.1_8B_instruct,NEWS,Tie,113,75.33333333333333
Llama3.1_8B_instruct,SCIFI,RAG loses,21,14.0
Llama3.1_8B_instruct,SCIFI,RAG wins,29,19.333333333333332
Llama3.1_8B_instruct,SCIFI,Tie,100,66.66666666666667
Llama3.1_8B_instruct,THRILLER,RAG loses,14,9.333333333333334
Llama3.1_8B_instruct,THRILLER,RAG wins,20,13.333333333333334
Llama3.1_8B_instruct,THRILLER,Tie,116,77.33333333333333
Phi3_mini_4K_instruct,NEWS,RAG loses,8,5.333333333333333
Phi3_mini_4K_instruct,NEWS,RAG wins,21,14.0
Phi3_mini_4K_instruct,NEWS,Tie,121,80.66666666666667
Phi3_mini_4K_instruct,SCIFI,RAG loses,14,9.333333333333334
Phi3_mini_4K_instruct,SCIFI,RAG wins,28,18.666666666666668
Phi3_mini_4K_instruct,SCIFI,Tie,108,72.0
Phi3_mini_4K_instruct,THRILLER,RAG loses,11,7.333333333333333
Phi3_mini_4K_instruct,THRILLER,RAG wins,26,17.333333333333332
Phi3_mini_4K_instruct,THRILLER,Tie,113,75.33333333333333
Qwen2.5_14B_Instruct,NEWS,RAG loses,8,5.333333333333333
Qwen2.5_14B_Instruct,NEWS,RAG wins,20,13.333333333333334
Qwen2.5_14B_Instruct,NEWS,Tie,122,81.33333333333333
Qwen2.5_14B_Instruct,SCIFI,RAG loses,20,13.333333333333334
Qwen2.5_14B_Instruct,SCIFI,RAG wins,18,12.0
Qwen2.5_14B_Instruct,SCIFI,Tie,112,74.66666666666667
Qwen2.5_14B_Instruct,THRILLER,RAG loses,7,4.666666666666667
Qwen2.5_14B_Instruct,THRILLER,RAG wins,25,16.666666666666668
Qwen2.5_14B_Instruct,THRILLER,Tie,118,78.66666666666667
Qwen3_4B_Instruct,NEWS,RAG loses,1,0.6802721088435374
Qwen3_4B_Instruct,NEWS,RAG wins,12,8.16326530612245
Qwen3_4B_Instruct,NEWS,Tie,134,91.15646258503402
Qwen3_4B_Instruct,SCIFI,RAG loses,2,1.3333333333333333
Qwen3_4B_Instruct,SCIFI,RAG wins,15,10.0
Qwen3_4B_Instruct,SCIFI,Tie,133,88.66666666666667
Qwen3_4B_Instruct,THRILLER,RAG loses,2,1.3333333333333333
Qwen3_4B_Instruct,THRILLER,RAG wins,10,6.666666666666667
Qwen3_4B_Instruct,THRILLER,Tie,138,92.0
